'data-make';'data-model';'data-year';'data-trim';'data-extcolor';'data-intcolor';'data-trans';'data-price';'data-engine';'data-fueltype';'data-vehicletype';'data-bodystyle';'data-name';'data-vin';'data-modelcode';'data-msrp';'data-stocknum'
'Jeep';'Wrangler Unlimited';'2015';'Sport 4WD';'Black Clearcoat';'Black';'Automatic';'26499';'3.6L V6 24V MPFI DOHC';'Gasoline Fuel';'used';'Convertible';'2015 Jeep Wrangler Unlimited Sport 4WD';'1C4BJWDGXFL609653';'JKJM74';'28999';'US5212'
'Jeep';'Grand Cherokee';'2015';'Altitude 4WD';'Maximum Steel Metallic Clearcoat';'Black';'Automatic';'0';'6 Cyl - 3.6 L';'Gasoline Fuel';'used';'Sport Utility';'2015 Jeep Grand Cherokee Altitude 4WD';'1C4RJFAGXFC150126';'WKJH74';'0';'US5325'
'Jeep';'Wrangler';'2016';'Rubicon Hard Rock 4WD';'Black Clearcoat';'Black';'Automatic';'33999';'3.6L V6 24V MPFI DOHC';'Gasoline Fuel';'used';'Convertible';'2016 Jeep Wrangler Rubicon Hard Rock 4WD';'1C4HJWCGXGL167986';'JKJS72';'38999';'US4754'
'Honda';'Civic Sedan';'2016';'EX-T';'White Orchid Pearl';'Gray';'Variable';'20999';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'4dr Car';'2016 Honda Civic Sedan EX-T';'2HGFC1F3XGH659512';'FC1F3GJW';'24999';'US4915'
'Toyota';'Corolla';'2016';'S Plus';'Slate Metallic';'Black';'Variable';'17499';'1.8L I4 16V MPFI DOHC';'Gasoline Fuel';'used';'4dr Car';'2016 Toyota Corolla S Plus';'2T1BURHE4GC745674';'1864';'19999';'US5097'
'Ford';'Explorer';'2016';'XLT 4WD';'Guard Metallic';'Ebony Black';'Automatic';'0';'6 Cyl - 3.5 L';'Gasoline Fuel';'used';'Sport Utility';'2016 Ford Explorer XLT 4WD';'1FM5K8D84GGB68851';'K8D';'0';'US5335'
'Subaru';'Outback';'2016';'2.5i Premium AWD';'Crystal White Pearl';'Slate Black';'Variable';'0';'2.5L H4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2016 Subaru Outback 2.5i Premium AWD';'4S4BSAEC7G3348474';'GDD';'0';'US5295'
'Ford';'Escape';'2017';'SE 4WD';'Oxford White';'Medium Light Stone';'Automatic';'20799';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2017 Ford Escape SE 4WD';'1FMCU9GD9HUE61745';'U9G';'23999';'US4968'
'Subaru';'Outback';'2017';'Premium AWD';'Crystal Black Silica';'Slate Black';'Variable';'25999';'2.5L H4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2017 Subaru Outback Premium AWD';'4S4BSACC2H3233446';'HDD';'27999';'US4982'
'Honda';'CR-V';'2017';'EX AWD';'Basque Red Pearl II';'Black';'Variable';'24499';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2017 Honda CR-V EX AWD';'2HKRW2H59HH660005';'RW2H5HJW';'26999';'US5091'
'Chevrolet';'Sonic';'2017';'LT';'Summit White';'Jet Black';'Automatic';'14999';'1.8L I4 16V MPFI DOHC';'Gasoline Fuel';'used';'Hatchback';'2017 Chevrolet Sonic LT';'1G1JD6SG8H4128487';'1JV48';'17999';'US5230'
'Dodge';'Charger';'2017';'R/T Scat Pack';'White Knuckle Clearcoat';'Ruby Red/Black';'Automatic';'41999';'6.4L V8 16V MPFI OHV';'Gasoline Fuel';'used';'4dr Car';'2017 Dodge Charger R/T Scat Pack';'2C3CDXGJ5HH623781';'LDDR48';'43999';'US5253'
'Subaru';'Forester';'2018';'Touring AWD';'Crystal Black Silica';'Black';'Variable';'29999';'2.5L H4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Subaru Forester Touring AWD';'JF2SJAWC6JH574118';'JFJ';'34999';'US4714'
'Subaru';'Forester';'2018';'Limited Awd';'Crystal White Pearl';'Gray';'Variable';'27499';'2.5L H4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Subaru Forester Limited Awd';'JF2SJARCXJH589815';'JFI';'31999';'US4733'
'Ford';'Escape';'2018';'SEL 4WD';'Blue Metallic';'Charcoal Black';'Automatic';'23999';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Escape SEL 4WD';'1FMCU9HD9JUC83923';'U9H';'26999';'US4750'
'Ford';'Explorer';'2018';'XLT 4WD';'Shadow Black';'Ebony Black';'Automatic';'30999';'3.5L V6 24V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Explorer XLT 4WD';'1FM5K8D84JGC20938';'K8D';'35999';'US4758'
'Ford';'Escape';'2018';'SE 4WD';'Cinnamon Glaze Metallic';'Medium Light Stone';'Automatic';'21999';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Escape SE 4WD';'1FMCU9GD3JUA77241';'U9G';'25999';'US4761'
'Ford';'F-150';'2018';'XL SuperCrew';'Lightning Blue';'Dark Earth Gray';'Automatic';'36499';'2.7L V6 24V PDI DOHC Twin Turbo';'Gasoline Fuel';'used';'Crew Cab Pickup';'2018 Ford F-150 XL SuperCrew';'1FTEW1EPXJFE54139';'W1E';'40999';'US4770'
'Ford';'Escape';'2018';'SEL 4WD';'Ingot Silver Metallic';'Charcoal Black';'Automatic';'24499';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Escape SEL 4WD';'1FMCU9HD5JUA87865';'U9H';'26999';'US4780'
'Subaru';'Outback';'2018';'Limited Awd';'Crystal White Pearl';'Slate Black';'Variable';'28999';'2.5L H4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Subaru Outback Limited Awd';'4S4BSANC9J3306086';'JDF';'32999';'US4792'
'Subaru';'Crosstrek';'2018';'Limited Awd';'Dark Gray Metallic';'Black';'Variable';'24499';'2.0L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Subaru Crosstrek Limited Awd';'JF2GTAMC7JH256401';'JRE';'27999';'US4771'
'Ford';'Fusion Energi';'2018';'SE';'Shadow Black';'Ebony';'Variable';'22799';'2.0L I4 16V MPFI DOHC Hybrid';'Hybrid Fuel';'used';'4dr Car';'2018 Ford Fusion Energi SE';'3FA6P0PU5JR275787';'P0P';'24999';'US4799'
'Ford';'Escape';'2018';'SE 4WD';'Magnetic Metallic';'Medium Light Stone';'Automatic';'21799';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Escape SE 4WD';'1FMCU9GD4JUD25092';'U9G';'25999';'US4810'
'Subaru';'Forester';'2018';'Limited Awd';'Quartz Blue Pearl';'Gray';'Variable';'29999';'2.5L H4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Subaru Forester Limited Awd';'JF2SJAJC0JH585364';'JFI';'34999';'US4811'
'Ford';'Escape';'2018';'SEL 4WD';'Ingot Silver Metallic';'Charcoal Black';'Automatic';'23999';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Escape SEL 4WD';'1FMCU9HDXJUC24749';'U9H';'26999';'US4837'
'Jeep';'Compass';'2018';'Limited 4X4';'White Clearcoat';'Black';'Automatic';'26999';'2.4L I4 16V MPFI SOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Jeep Compass Limited 4X4';'3C4NJDCB5JT481889';'MPJP74';'29999';'US4833'
'Ford';'Escape';'2018';'SE 4WD';'Lightning Blue Metallic';'Charcoal Black';'Automatic';'21499';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Escape SE 4WD';'1FMCU9GD7JUC24743';'U9G';'24999';'US4859'
'Ford';'Expedition';'2018';'Limited 4X4';'Shadow Black';'Ebony';'Automatic';'49499';'3.5L V6 24V GDI DOHC Twin Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Expedition Limited 4X4';'1FMJU2AT4JEA48257';'U2A';'53999';'US4884'
'Ford';'F-150';'2018';'Platinum SuperCrew';'Magnetic Metallic';'Black';'Automatic';'45999';'5.0L V8 32V PDI DOHC';'Gasoline Fuel';'used';'Crew Cab Pickup';'2018 Ford F-150 Platinum SuperCrew';'1FTEW1E50JFC08246';'W1E';'48999';'US4899'
'Honda';'Civic Sedan';'2018';'EX-T';'Aegean Blue Metallic';'Black';'Variable';'20999';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'4dr Car';'2018 Honda Civic Sedan EX-T';'JHMFC1F31JX002677';'FC1F3JJW';'25999';'US4917'
'Nissan';'Rogue';'2018';'SV';'Brilliant Silver';'Charcoal';'Variable';'18499';'2.5L I4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Nissan Rogue SV';'KNMAT2MTXJP506794';'22318';'21999';'US4918'
'Ford';'Mustang';'2018';'EcoBoost';'Ingot Silver Metallic';'Ebony';'Automatic';'25999';'2.3L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'2dr Car';'2018 Ford Mustang EcoBoost';'1FA6P8TH3J5127356';'P8T';'27999';'US4941'
'Ford';'Edge';'2018';'Titanium AWD';'Shadow Black';'Cognac';'Automatic';'28799';'2.0L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Edge Titanium AWD';'2FMPK4K90JBC48885';'K4K';'31999';'US4933'
'Ford';'EcoSport';'2018';'SE 4WD';'Shadow Black';'Ebony Black';'Automatic';'20499';'2.0L I4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford EcoSport SE 4WD';'MAJ6P1UL9JC171951';'P1U';'21999';'US4954'
'Ford';'Escape';'2018';'SE 4WD';'Oxford White';'Charcoal Black';'Automatic';'21799';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Escape SE 4WD';'1FMCU9GDXJUD25064';'U9G';'24999';'US4960'
'Ford';'F-150';'2018';'XLT';'Magma Red Metallic';'Black';'Automatic';'40499';'5.0L V8 32V PDI DOHC';'Gasoline Fuel';'used';'Crew Cab Pickup';'2018 Ford F-150 XLT';'1FTEW1E51JFB61373';'W1E';'41999';'US4951'
'Ford';'F-150';'2018';'XL SuperCrew';'Lightning Blue';'Dark Earth Gray';'Automatic';'36999';'2.7L V6 24V PDI DOHC Twin Turbo';'Gasoline Fuel';'used';'Crew Cab Pickup';'2018 Ford F-150 XL SuperCrew';'1FTEW1EP8JFD81126';'W1E';'39999';'US4986'
'Ford';'Escape';'2018';'SE 4WD';'Shadow Black';'Charcoal Black';'Automatic';'22799';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Escape SE 4WD';'1FMCU9GD3JUD12365';'U9G';'25999';'US5022'
'Chevrolet';'Trax';'2018';'LT AWD';'Silver Ice Metallic';'Jet Black';'Automatic';'22499';'1.4L I4 16V MPFI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Chevrolet Trax LT AWD';'KL7CJPSB8JB710509';'1JS76';'25999';'US5011'
'RAM';'1500';'2018';'Big Horn Crew Cab';'Bright White Clearcoat';'Diesel Gray/Black';'Automatic';'35799';'5.7L V8 16V MPFI OHV';'Gasoline Fuel';'used';'Crew Cab Pickup';'2018 RAM 1500 Big Horn Crew Cab';'1C6RR7LT9JS281823';'DS6H98';'38999';'US5037'
'Ford';'Explorer';'2018';'XLT 4WD';'Oxford White';'Ebony Black';'Automatic';'29999';'3.5L V6 24V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Explorer XLT 4WD';'1FM5K8D87JGC30038';'K8D';'31999';'US5039'
'Ford';'Fusion';'2018';'Titanium';'White Gold Metallic';'Ebony';'Automatic';'24999';'2.0L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'4dr Car';'2018 Ford Fusion Titanium';'3FA6P0K91JR112766';'P0K';'26999';'US5047'
'Subaru';'Forester';'2018';'Limited';'Quartz Blue Pearl';'Gray';'Variable';'27999';'2.5L H4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Subaru Forester Limited';'JF2SJARC2JH610527';'JFI';'29999';'US5051'
'Ford';'Edge';'2018';'SEL AWD';'White Platinum Metallic Tri-Coat';'Mayan Gray/Umber';'Automatic';'29999';'2.0L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Edge SEL AWD';'2FMPK4J92JBB55335';'K4J';'31999';'US5074'
'Ford';'Fusion Hybrid';'2018';'SE';'Oxford White';'Ebony';'Variable';'21999';'2.0L I4 16V MPFI DOHC Hybrid';'Hybrid Fuel';'used';'4dr Car';'2018 Ford Fusion Hybrid SE';'3FA6P0LU1JR279521';'P0L';'24999';'US5104'
'Subaru';'Forester';'2018';'Premium Awd';'Quartz Blue Pearl';'Gray';'Variable';'26499';'2.5L H4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Subaru Forester Premium Awd';'JF2SJAGC7JH469294';'JFF';'28999';'US5119'
'Ford';'EcoSport';'2018';'SES 4WD';'Diamond White';'Ebony Black';'Automatic';'20499';'2.0L I4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford EcoSport SES 4WD';'MAJ6P1CL1JC196800';'P1C';'22999';'US5138'
'Ford';'Edge';'2018';'SEL AWD';'Magnetic Metallic';'Mayan Gray/Umber';'Automatic';'27499';'2.0L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Edge SEL AWD';'2FMPK4J97JBC17909';'K4J';'29999';'US5145'
'Ford';'Edge';'2018';'SEL AWD';'Magnetic Metallic';'Ebony';'Automatic';'27499';'2.0L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Edge SEL AWD';'2FMPK4J94JBB47057';'K4J';'29999';'US5165'
'Ford';'Escape';'2018';'Titanium 4WD';'Magnetic Metallic';'Charcoal Black';'Automatic';'26999';'2.0L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Escape Titanium 4WD';'1FMCU9J92JUD25063';'U9J';'28999';'US5190'
'Ford';'Fusion';'2018';'SE';'Oxford White';'Ebony';'Automatic';'22499';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'4dr Car';'2018 Ford Fusion SE';'3FA6P0HD3JR216283';'P0H';'24999';'US5225'
'Subaru';'Impreza';'2018';'AWD';'Lapis Blue Pearl';'Ivory';'Variable';'21999';'2.0L H4 16V GDI DOHC';'Gasoline Fuel';'used';'4dr Car';'2018 Subaru Impreza AWD';'4S3GKAA66J3617274';'JJB';'23999';'US5234'
'Ford';'Explorer';'2018';'4WD';'Ingot Silver Metallic';'Medium Stone';'Automatic';'27999';'3.5L V6 24V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Explorer 4WD';'1FM5K8B81JGC20933';'K8B';'29999';'US5267'
'Ford';'F-150';'2018';'XLT SuperCrew';'Oxford White';'Black';'Automatic';'38999';'2.7L V6 24V PDI DOHC Twin Turbo';'Gasoline Fuel';'used';'Crew Cab Pickup';'2018 Ford F-150 XLT SuperCrew';'1FTEW1EP4JKF00216';'W1E';'39999';'US5284'
'Ford';'EcoSport';'2018';'SE 4WD';'Shadow Black';'Ebony Black';'Automatic';'21999';'2.0L I4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford EcoSport SE 4WD';'MAJ6P1UL6JC226307';'P1U';'24999';'US5291'
'Ford';'Explorer';'2018';'XLT';'Magnetic';'Ebony Black W/Fire Orange';'Automatic';'26837';'3.5L V6 24V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Explorer XLT';'1FM5K8D89JGC78849';'K8D';'0';'US5306'
'Subaru';'Forester';'2018';'Premium';'Jasmine Green Metallic';'Gray';'Variable';'19945';'2.5L H4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2018 Subaru Forester Premium';'JF2SJAEC4JH589427';'JFF';'0';'US5309'
'Ford';'Escape';'2018';'SEL';'Shadow Black';'Charcoal Black';'Automatic';'19277';'4 Cyl - 1.5 L';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Escape SEL';'1FMCU9HD4JUD33059';'U9H';'0';'US5314'
'Ford';'F-150';'2018';'XLT SuperCrew';'Oxford White';'Medium Earth Gray';'Automatic';'0';'6 Cyl - 3.5 L';'Gasoline Fuel';'used';'Crew Cab Pickup';'2018 Ford F-150 XLT SuperCrew';'1FTEW1EG4JFA40452';'W1E';'0';'US5299'
'Ford';'Edge';'2018';'SEL AWD';'Shadow Black';'Ebony';'Automatic';'0';'4 Cyl - 2.0 L';'Gasoline Fuel';'used';'Sport Utility';'2018 Ford Edge SEL AWD';'2FMPK4J98JBC29809';'K4J';'0';'US5247'
'Subaru';'Impreza';'2019';'AWD';'Island Blue Pearl';'Black';'Variable';'22499';'2.0L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Hatchback';'2019 Subaru Impreza AWD';'4S3GTAA65K3716490';'KLB';'25999';'US4731'
'Subaru';'Forester';'2019';'Sport AWD';'Dark Gray Metallic';'Gray';'Variable';'33499';'2.5L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Subaru Forester Sport AWD';'JF2SKAPC1KH465336';'KFG';'36999';'US4730'
'Subaru';'Forester';'2019';'Premium Awd';'Crimson Red Pearl';'Gray';'Variable';'31499';'2.5L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Subaru Forester Premium Awd';'JF2SKAEC3KH465843';'KFF';'36999';'US4734'
'Subaru';'Forester';'2019';'Sport 4WD';'Dark Blue Pearl';'Gray';'Variable';'31499';'2.5L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Subaru Forester Sport 4WD';'JF2SKAPC1KH531755';'KFG';'36999';'US4748'
'Subaru';'Forester';'2019';'Premium Awd';'Crystal Black Silica';'Black';'Variable';'26999';'2.5L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Subaru Forester Premium Awd';'JF2SKAGC9KH500883';'KFF';'31999';'US4759'
'Ford';'Explorer';'2019';'XLT 4WD';'Magnetic Metallic';'Medium Light Stone';'Automatic';'33499';'3.5L V6 24V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Ford Explorer XLT 4WD';'1FM5K8D89KGA48259';'K8D';'36999';'US4793'
'Ford';'Edge';'2019';'SEL AWD';'Ingot Silver Metallic';'Ebony';'Automatic';'30999';'2.0L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2019 Ford Edge SEL AWD';'2FMPK4J99KBB19014';'K4J';'35999';'US4798'
'Ford';'Fusion Hybrid';'2019';'SE';'Velocity Blue Metallic';'Ebony';'Variable';'22999';'2.0L I4 16V MPFI DOHC Hybrid';'Hybrid Fuel';'used';'4dr Car';'2019 Ford Fusion Hybrid SE';'3FA6P0LU5KR110992';'P0L';'25999';'US4789'
'Ford';'Escape';'2019';'SEL 4WD';'Agate Black Metallic';'Charcoal Black';'Automatic';'26499';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2019 Ford Escape SEL 4WD';'1FMCU9HD3KUB42119';'U9H';'28999';'US4806'
'Ford';'Escape';'2019';'SEL 4WD';'White Platinum Metallic Tri-Coat';'Charcoal Black';'Automatic';'26999';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2019 Ford Escape SEL 4WD';'1FMCU9HDXKUA66270';'U9H';'29999';'US4814'
'Ford';'Escape';'2019';'SEL 4WD';'White Platinum Metallic Tri-Coat';'Charcoal Black';'Automatic';'27999';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2019 Ford Escape SEL 4WD';'1FMCU9HD7KUB91260';'U9H';'31999';'US4839'
'Ford';'Escape';'2019';'Titanium 4WD';'Ingot Silver Metallic';'Charcoal Black';'Automatic';'29999';'2.0L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2019 Ford Escape Titanium 4WD';'1FMCU9J91KUA73114';'U9J';'32999';'US4848'
'Ford';'Explorer';'2019';'XLT 4WD';'White Platinum Metallic Tri-Coat';'Ebony Black w/Fire Orange';'Automatic';'33799';'3.5L V6 24V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Ford Explorer XLT 4WD';'1FM5K8D83KGB33078';'K8D';'37999';'US4826'
'GMC';'Acadia';'2019';'SLT AWD';'Ebony Twilight Metallic';'Jet Black';'Automatic';'37999';'3.6L V6 24V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 GMC Acadia SLT AWD';'1GKKNWLS3KZ140377';'TNM26';'41999';'US4843'
'Subaru';'Forester';'2019';'Premium Awd';'Ice Silver Metallic';'Black';'Variable';'27999';'2.5L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Subaru Forester Premium Awd';'JF2SKAGC2KH479777';'KFF';'31999';'US4856'
'Ford';'Escape';'2019';'SEL 4WD';'Sedona Orange Metallic';'Charcoal Black';'Automatic';'24799';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2019 Ford Escape SEL 4WD';'1FMCU9HD1KUA28152';'U9H';'27999';'US4869'
'Subaru';'Crosstrek';'2019';'Limited Awd';'Venetian Red Pearl';'Black';'Variable';'29999';'2.0L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Subaru Crosstrek Limited Awd';'JF2GTANC2KH267743';'KRE';'32999';'US4871'
'Ford';'Fusion Energi';'2019';'Titanium';'Ruby Red Metallic Tinted Clearcoat';'Ebony';'Variable';'25999';'2.0L I4 16V MPFI DOHC Hybrid';'Hybrid Fuel';'used';'4dr Car';'2019 Ford Fusion Energi Titanium';'3FA6P0SU2KR264187';'P0S';'27999';'US4896'
'Subaru';'Outback';'2019';'Premium Awd';'Crystal White Pearl';'Slate Black';'Variable';'28999';'2.5L H4 16V MPFI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Subaru Outback Premium Awd';'4S4BSAFC6K3330779';'KDD';'30999';'US4889'
'Chevrolet';'Colorado';'2019';'4WD LT Crew Cab';'Black';'Jet Black';'Automatic';'25499';'3.6L V6 24V GDI DOHC';'Gasoline Fuel';'used';'Crew Cab Pickup';'2019 Chevrolet Colorado 4WD LT Crew Cab';'1GCGTCEN2K1117457';'12N43';'29999';'US4888'
'Ford';'Explorer';'2019';'Sport 4WD';'Agate Black Metallic';'Ebony Black w/Red Accent';'Automatic';'39658';'3.5L V6 24V GDI DOHC Twin Turbo';'Gasoline Fuel';'used';'Sport Utility';'2019 Ford Explorer Sport 4WD';'1FM5K8GT3KGB00047';'K8G';'42999';'US4910'
'Ford';'Escape';'2019';'SE 4WD';'Lightning Blue Metallic';'Chromite Gray/Chrcl Black';'Automatic';'24499';'1.5L I4 16V GDI DOHC Turbo';'Gasoline Fuel';'used';'Sport Utility';'2019 Ford Escape SE 4WD';'1FMCU9GD7KUA84436';'U9G';'26999';'US4923'
'Subaru';'Impreza';'2019';'Premium AWD';'Crimson Red Pearl';'Ivory';'Variable';'21999';'2.0L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Hatchback';'2019 Subaru Impreza Premium AWD';'4S3GTAC61K3723840';'KLD';'25999';'US4914'
'Subaru';'Forester';'2019';'Touring AWD';'Horizon Blue Pearl';'Black';'Variable';'35499';'2.5L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Subaru Forester Touring AWD';'JF2SKAWC3KH469969';'KFJ';'38999';'US4924'
'Subaru';'Forester';'2019';'Touring AWD';'Crystal Black Silica';'Black';'Variable';'35499';'2.5L H4 16V GDI DOHC';'Gasoline Fuel';'used';'Sport Utility';'2019 Subaru Forester Touring AWD';'JF2SKAWC7KH465925';'KFJ';'38999';'US4925'
